logging of blocks enabled
logging max values only
Timer disabled
Block1 Block2
512MB	256MB
85	8
85	8
85	9
85	10
85	11
85	12
85	13
85	14
85	15
85	16
85	17
85	18
85	19
85	20
85	21
85	22
85	23
85	24
85	25
85	26
85	27
85	28
85	29
85	30
85	31
85	32
85	33
85	34
85	35
85	36
85	37
85	38
85	39
85	40
85	41
85	42
85	43
85	44
85	45
85	46
85	47
85	48
85	49
85	50
85	51
85	52
85	53
85	54
85	55
85	56
85	57
85	58
85	59
85	60
85	61
85	62
85	63
85	64
85	65
85	66
85	67
85	68
85	69
85	70
85	71
85	72
85	73
85	74
85	75
85	76
85	77
85	78
85	79
85	80
85	81
85	82
85	83
85	84
85	85
85	86
85	87
85	88
85	89
85	90
85	91
85	92
85	93
85	94
85	95
85	96
85	97
85	98
85	99
85	100
85	101
85	102
85	103
85	104
85	105
85	106
85	107
85	108
85	109
85	110
85	111
85	112
85	113
85	114
85	115
85	116
85	117
85	118
85	119
85	120
85	121
85	122
85	123
85	124
85	125
85	126
85	127
85	128
85	129
85	130
85	131
85	132
85	133
85	134
85	135
85	136
85	137
85	138
85	139
85	140
85	141
85	142
85	143
85	144
85	145
85	146
85	147
85	148
85	149
85	150
85	151
85	152
85	153
85	154
85	155
85	156
85	157
85	158
85	159
85	160
85	161
85	162
85	163
85	164
85	165
85	166
85	167
85	168
85	169
85	170
85	171
85	172
85	173
85	174
85	175
85	176
85	177
85	178
85	179
85	180
85	181
86	181
86	182
86	183
86	184
86	185
87	185
87	186
87	187
87	188
87	189
87	190
88	190
88	191
88	192
88	193
88	194
88	195
89	195
89	196
90	196
90	197
90	198
90	199
90	200
90	201
90	202
91	202
91	203
97	203
107	203
108	203
108	204
108	205
124	205
124	206
124	207
124	208
124	209
124	210
124	211
124	212
124	213
124	214
124	215
124	216
124	217
124	218
124	219
124	220
124	221
124	222
124	223
124	224
124	225
124	226
124	227
124	228
124	229
124	230
124	231
124	232
124	233
124	234
124	235
124	236
124	237
124	238
124	239
124	240
124	241
130	241
135	241
136	241
138	241
143	241
145	241
150	241
150	242
156	242
156	243
157	243
158	243
159	243
160	243
161	243
162	243
163	243
164	243
165	243
165	244
171	244
172	244
173	244
174	244
175	244
176	244
177	244
178	244
179	244
180	244
190	244
190	245
190	246
190	247
190	248
190	249
190	250
190	251
190	252
190	253
191	253
192	253
193	253
194	253
195	253
196	253
197	253
198	253
199	253
200	253
201	253
202	253
203	253
204	253
205	253
206	253
207	253
208	253
209	253
210	253
211	253
212	253
213	253
214	253
215	253
216	253
217	253
218	253
219	253
220	253
221	253
222	253
223	253
224	253
225	253
226	253
227	253
228	253
229	253
230	253
231	253
232	253
233	253
234	253
235	253
236	253
237	253
238	253
239	253
240	253
241	253
242	253
243	253
244	253
245	253
246	253
247	253
248	253
249	253
249	254
250	254
251	254
252	254
252	255
253	255
254	255
255	255
256	255
257	255
258	255
259	255
260	255
261	255
262	255
263	255
263	256
264	256
265	256
266	256
267	256
268	256
269	256
270	256
271	256
272	256
273	256
277	256
278	256
279	256
280	256
296	256
299	256
300	256
311	256
316	256
318	256
319	256
